,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
84,hopeless fountain kingdom (Deluxe),5,2Te14aSrBgFj1CE2sBBVMX,Alone,spotify:track:2Te14aSrBgFj1CE2sBBVMX,0.0184,0.602,0.724,0.0,0.606,-3.469,0.0352,100.064,0.451,56
85,hopeless fountain kingdom (Deluxe),6,7i2DJ88J7jQ8K7zqFX2fW8,Now Or Never,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,0.107,0.67,0.585,1.11e-06,0.131,-4.861,0.0354,110.03,0.447,67
86,hopeless fountain kingdom (Deluxe),7,44n97yHySt0Z9rqPaXgjCK,Sorry,spotify:track:44n97yHySt0Z9rqPaXgjCK,0.913,0.513,0.25,0.0,0.117,-9.376,0.0367,74.103,0.351,76
87,hopeless fountain kingdom (Deluxe),8,6Ck8Lq4srTWQP1PXZ9P8aZ,Good Mourning,spotify:track:6Ck8Lq4srTWQP1PXZ9P8aZ,0.713,0.629,0.53,0.0274,0.412,-9.943,0.0556,99.806,0.78,45
88,hopeless fountain kingdom (Deluxe),9,3BRO4QR9ZDj9Ae3VtbjeUr,Lie,spotify:track:3BRO4QR9ZDj9Ae3VtbjeUr,0.131,0.361,0.468,9.78e-06,0.175,-5.276,0.0343,150.572,0.04,55
89,hopeless fountain kingdom (Deluxe),10,5ln5yQdUywVbf8HhFsOcd6,Walls Could Talk,spotify:track:5ln5yQdUywVbf8HhFsOcd6,0.128,0.626,0.423,0.0,0.18,-6.035,0.0513,95.162,0.571,73
90,hopeless fountain kingdom (Deluxe),11,7y9iMe8SOB6z3NoHE2OfXl,Bad At Love,spotify:track:7y9iMe8SOB6z3NoHE2OfXl,0.0604,0.675,0.751,0.0,0.0893,-3.539,0.0296,118.384,0.612,73
91,hopeless fountain kingdom (Deluxe),12,7hHTbI9DRg8u9oJ92RQJkw,Don’t Play,spotify:track:7hHTbI9DRg8u9oJ92RQJkw,0.0566,0.721,0.709,3.95e-05,0.0686,-7.939,0.0486,99.961,0.341,53
92,hopeless fountain kingdom (Deluxe),13,11EDhDAVDtGPoSar6ootYA,Strangers,spotify:track:11EDhDAVDtGPoSar6ootYA,0.01,0.69,0.784,4.08e-05,0.22,-4.724,0.056,109.969,0.284,63
93,hopeless fountain kingdom (Deluxe),14,4vTsOYAocjaslUONkx2YS3,Angel On Fire,spotify:track:4vTsOYAocjaslUONkx2YS3,0.254,0.505,0.697,0.0,0.158,-5.479,0.0406,96.938,0.208,51
